
number: 1000

(11, 23)            : 253
(5, 127)            : 635
(2, 191)            : [382, 764]
(3, 41)             : [123, 369]
(2, 7, 43)          : 602
(7, 23)             : 161
(2, 5, 73)          : 730
(3, 199)            : 597
(2, 263)            : 526
(2, 3, 67)          : [402, 804]
(2, 347)            : 694
(2, 41)             : [82, 164, 328, 656]
(3, 5, 11)          : [165, 495, 825]
(11, 73)            : 803
(2, 3, 17)          : [102, 204, 306, 408, 612, 816, 918]
(23, 41)            : 943
(3, 191)            : 573
(2, 67)             : [134, 268, 536]
(2, 367)            : 734
(11, 47)            : 517
(2, 7, 59)          : 826
(5, 71)             : 355
(3, 107)            : [321, 963]
(2, 151)            : [302, 604]
(2, 419)            : 838
(5, 97)             : 485
(3, 113)            : 339
(2, 3, 41)          : [246, 492, 738, 984]
(5, 11)             : [55, 275, 605]
(3, 23)             : [69, 207, 621]
(2, 61)             : [122, 244, 488, 976]
(3, 61)             : [183, 549]
(2, 197)            : [394, 788]
(2, 3, 83)          : [498, 996]
(2, 5, 7)           : [70, 140, 280, 350, 490, 560, 700, 980]
(2, 3, 149)         : 894
(17,)               : 289
(3, 7, 47)          : 987
(3, 257)            : 771
(2, 307)            : 614
(2, 3, 107)         : 642
(2, 5, 31)          : [310, 620]
(5, 151)            : 755
(2, 59)             : [118, 236, 472, 944]
(11, 71)            : 781
(3, 173)            : 519
(2, 353)            : 706
(3, 7, 23)          : 483
(3, 179)            : 537
(3, 13, 23)         : 897
(2, 79)             : [158, 316, 632]
(5, 73)             : 365
(3, 89)             : [267, 801]
(2, 11, 23)         : 506
(2, 5, 23)          : [230, 460, 920]
(5, 83)             : 415
(3, 127)            : 381
(2, 131)            : [262, 524]
(13, 19)            : 247
(2, 431)            : 862
(2, 17, 19)         : 646
(3, 5)              : [15, 45, 75, 135, 225, 375, 405, 675]
(2, 3, 7, 19)       : 798
(2, 7, 13)          : [182, 364, 728]
(2, 457)            : 914
(3, 7, 31)          : 651
(5, 7)              : [35, 175, 245, 875]
(3, 43)             : [129, 387]
(2, 5, 97)          : 970
(7, 17)             : [119, 833]
(17, 47)            : 799
(2, 241)            : [482, 964]
(2, 11, 31)         : 682
(2, 5, 47)          : [470, 940]
(5, 7, 23)          : 805
(3, 239)            : 717
(2, 19)             : [38, 76, 152, 304, 608, 722]
(3,)                : [9, 27, 81, 243, 729]
(19, 47)            : 893
(2, 13)             : [26, 52, 104, 208, 338, 416, 676, 832]
(5, 47)             : 235
(3, 5, 41)          : 615
(2, 3, 7, 13)       : 546
(3, 11, 29)         : 957
(5, 163)            : 815
(23, 43)            : 989
(17, 23)            : 391
(17, 31)            : 527
(2, 7, 29)          : [406, 812]
(3, 71)             : [213, 639]
(2, 19, 23)         : 874
(13, 43)            : 559
(3, 109)            : [327, 981]
(2, 149)            : [298, 596]
(2, 7, 71)          : 994
(11, 29)            : 319
(3, 5, 17)          : [255, 765]
(7, 83)             : 581
(2, 3, 11)          : [66, 132, 198, 264, 396, 528, 594, 726, 792]
(13, 31)            : 403
(3, 211)            : 633
(2, 13, 17)         : [442, 884]
(5, 19)             : [95, 475]
(2, 3, 5, 17)       : 510
(7, 29)             : 203
(5, 61)             : 305
(2, 3, 5, 23)       : 690
(7, 59)             : 413
(5, 199)            : 995
(3, 11, 13)         : 429
(3, 227)            : 681
(5, 139)            : 695
(2, 31)             : [62, 124, 248, 496, 992]
(3, 137)            : 411
(5, 149)            : 745
(5, 191)            : 955
(2, 83)             : [166, 332, 664]
(2, 5, 79)          : 790
(13, 67)            : 871
(2, 383)            : 766
(3, 181)            : 543
